nombre,apellido,edad,genero,pais_origen,estado_civil,num_integrantes_familia,dependientes_menores,profesion,sector_industrial,categoria_profesional,nivel_educativo,tipo_contrato,anos_experiencia,meses_empresa_actual,ingresos_anuales,dinero_banco,deudas_totales,invertido_bolsa,invertido_cripto,invertido_propiedades,patrimonio_neto,score_crediticio,gastos_mensuales,renta_pasiva,ratio_deuda_ingreso,interes_compra_dubai,motivo_compra,presupuesto_max,zona_preferida
Teresa,Moreno,56,Mujer,USA (Miami),Casado,2,2,Marketing Manager,Telecomunicaciones,Director,Master,Permanente,33,94,156544,203560,90140,375644,0,0,489064,703,4255,0,57.58,Medio,Residencia,2809165,Zona Centro-Negocios
Lucía,González,31,Mujer,España,Soltero,1,0,Médico,Automotriz,Senior,Master,Permanente,9,90,101263,29179,42333,0,23458,0,10304,652,2437,0,41.81,Bajo,Inversión,741361,Zona Centro-Negocios
Mónica,Hernández,31,Mujer,México,Casado,1,1,Director Comercial,Salud,Senior,Master,Permanente,10,167,115026,37766,33319,542,0,374652,379641,641,3821,0,28.97,Medio,Inversión,982240,Zona Sur-Inversión
Miguel,Gómez,56,Hombre,España,Casado,3,2,Director Comercial,Salud,Director,Master,Temporal,33,5,184611,105643,143708,191445,30507,0,183887,630,5010,0,77.84,Bajo,Residencia,2064302,Zona Centro-Negocios
Rafael,Hernández,31,Hombre,Argentina,Casado,2,0,Analista Financiero,Automotriz,Senior,Master,Permanente,8,103,100305,76406,32252,0,0,0,44154,764,1968,0,32.15,Bajo,Vacacional,620770,Zona Residencial-Accesible
Mónica,Álvarez,33,Mujer,México,Casado,1,1,Data Scientist,Aeroespacial,Mid-Level,Licenciatura,Temporal,10,127,42456,23417,44415,16069,7578,0,2649,572,1192,8992,104.61,Bajo,Mixto,470918,Zona Residencial-Accesible
Andrés,Díaz,31,Hombre,Perú,Casado,1,2,Marketing Manager,Turismo,Senior,PhD,Permanente,9,133,82764,29763,39704,57965,7134,0,55158,700,2404,0,47.97,Medio,Vacacional,595214,Zona Sur-Inversión
Fernando,Pérez,31,Hombre,España,Casado,1,2,Director Comercial,Telecomunicaciones,Mid-Level,Licenciatura,Temporal,9,132,60277,30221,42977,34888,0,0,22132,642,1015,0,71.3,Medio,Inversión,320264,Zona Residencial-Accesible
María,Alonso,56,Mujer,México,Soltero,2,0,Arquitecto,Alimentación,Director,Master,Temporal,35,41,108976,78957,68316,106914,34159,559666,711380,560,2602,9563,62.69,Alto,Vacacional,3190108,Zona Costa-Premium
Carmen,Castro,31,Mujer,España,Casado,2,2,Consultor,Energía,Senior,Master,Permanente,9,5,101579,14677,44151,53663,27138,0,51327,785,3295,0,43.46,Medio,Inversión,754822,Zona Residencial-Accesible
Raquel,Domínguez,33,Mujer,México,Casado,1,1,Consultor,Consultoría,Senior,Master,Permanente,11,6,121697,100277,86499,16212,0,432328,462318,550,3683,0,71.08,Alto,Mixto,1704865,Zona Centro-Negocios
Andrés,Navarro,31,Hombre,USA (Miami),Soltero,3,0,Piloto,Tecnología,Mid-Level,Licenciatura,Temporal,8,166,38609,28842,27230,27681,7711,0,37004,627,775,0,70.53,Bajo,Residencia,223827,Zona Tech-Educación
Lucía,Romero,56,Mujer,Perú,Soltero,1,0,Ingeniero Civil,Telecomunicaciones,Director,Master,Permanente,35,107,118146,103860,97687,138020,41081,0,185274,551,2568,0,82.68,Bajo,Residencia,1481264,Zona Centro-Negocios
Francisco,Díaz,56,Hombre,España,Casado,1,3,Diseñador,Construcción,Director,Master,Permanente,35,51,184435,179230,99160,356867,0,1376246,1813183,628,5103,0,53.76,Alto,Inversión,5000000,Zona Costa-Premium
Pedro,Álvarez,33,Hombre,Chile,Casado,6,1,Ingeniero Software,Retail,Mid-Level,Licenciatura,Permanente,10,8,54632,35340,38018,0,14032,296445,307799,550,1741,0,69.59,Bajo,Vacacional,1136821,Zona Residencial-Accesible
Beatriz,Vázquez,56,Mujer,España,Casado,2,1,Abogado,Salud,Director,Master,Permanente,35,134,126977,167995,138319,251597,0,0,281273,599,3974,0,108.93,Medio,Mixto,1629941,Zona Costa-Premium
Pedro,Castro,31,Hombre,España,Casado,1,0,Médico,Automotriz,Mid-Level,Licenciatura,Permanente,8,81,46710,13388,33421,4895,4592,0,-10546,634,967,0,71.55,Bajo,Mixto,370687,Zona Tech-Educación
Alejandro,Jiménez,56,Hombre,USA (Miami),Divorciado,4,2,Analista Financiero,Educación,Director,Master,Permanente,35,108,177391,208890,72272,213431,83019,1374368,1807436,723,4971,0,40.74,Alto,Vacacional,5000000,Zona Costa-Premium
Pablo,Jiménez,56,Hombre,España,Divorciado,1,2,Desarrollador,Inmobiliario,Director,Licenciatura,Permanente,33,173,124506,66922,117691,309296,0,0,258527,550,3245,27351,94.53,Medio,Mixto,1480942,Zona Residencial-Accesible
Andrea,Fernández,61,Mujer,España,Soltero,5,0,Farmacéutico,Tecnología,Director,Master,Permanente,38,92,157452,210851,36830,328375,8786,996540,1507722,760,3610,0,23.39,Alto,Mixto,5000000,Zona Costa-Premium
Elena,Gil,31,Mujer,España,Casado,1,1,Data Scientist,Alimentación,Senior,Master,Permanente,10,98,84343,16548,15508,0,21566,0,22606,654,1828,23769,18.39,Bajo,Mixto,433297,Zona Sur-Inversión
Laura,López,31,Mujer,España,Casado,4,0,Ingeniero Software,Educación,Senior,PhD,Permanente,9,157,109119,37485,22760,64080,0,0,78805,692,2724,0,20.86,Bajo,Inversión,862331,Zona Centro-Negocios
Lucía,Ortiz,31,Mujer,España,Soltero,1,0,Gerente de Proyecto,Alimentación,Mid-Level,Licenciatura,Permanente,8,83,64768,32101,29960,0,0,0,2141,702,1693,0,46.26,Medio,Inversión,344479,Zona Sur-Inversión
Javier,Díaz,31,Hombre,Chile,Casado,5,0,Arquitecto,Energía,Senior,Master,Permanente,9,155,85978,30752,41259,0,6967,0,-3540,662,2721,0,47.99,Bajo,Inversión,489539,Zona Tech-Educación
Andrés,Castro,31,Hombre,España,Casado,3,0,Chef Ejecutivo,Educación,Mid-Level,Licenciatura,Permanente,8,122,51628,41206,20790,11205,0,0,31621,622,1505,0,40.27,Bajo,Residencia,387056,Zona Residencial-Accesible
Rafael,Sánchez,33,Hombre,México,Casado,1,1,Ingeniero Civil,Consultoría,Senior,Master,Permanente,11,6,91961,56657,44045,109502,0,0,122114,785,1624,8490,47.9,Medio,Mixto,1044416,Zona Sur-Inversión
Daniel,Martín,33,Hombre,España,Divorciado,4,0,Chef Ejecutivo,Alimentación,Senior,Master,Permanente,11,90,100850,106166,32036,0,0,0,74130,769,1978,0,31.77,Bajo,Mixto,1197827,Zona Sur-Inversión
Pablo,Rodríguez,61,Hombre,México,Soltero,2,0,Director Comercial,Energía,C-Level,PhD,Permanente,40,113,220637,175443,40333,447715,0,0,582825,718,4551,0,18.28,Alto,Residencia,3381978,Zona Costa-Premium
Lucía,Martín,31,Mujer,Colombia,Casado,3,2,Contador,Tecnología,Senior,PhD,Permanente,8,154,102789,16883,35497,0,2474,0,-16140,789,2066,0,34.53,Medio,Inversión,755304,Zona Tech-Educación
Rafael,Navarro,61,Hombre,Perú,Casado,3,2,Contador,Energía,Director,Licenciatura,Permanente,40,176,133733,86158,19937,156629,0,0,222850,735,2888,13167,14.91,Medio,Inversión,1640630,Zona Centro-Negocios
Alejandro,Pérez,56,Hombre,Ecuador,Soltero,3,0,Product Manager,Inmobiliario,Director,Master,Permanente,33,125,132898,228810,126393,125796,0,0,228213,617,3115,0,95.11,Alto,Mixto,1915878,Zona Costa-Premium
Pablo,Romero,56,Hombre,España,Casado,2,2,Ingeniero Software,Inmobiliario,Director,Licenciatura,Permanente,33,168,91549,51116,175473,55798,0,0,-68559,563,1551,0,191.67,Bajo,Residencia,1190432,Zona Centro-Negocios
Luis,Gómez,61,Hombre,Uruguay,Casado,5,1,Ingeniero Software,Tecnología,C-Level,Master,Permanente,39,4,193073,117367,44432,305095,0,0,378030,731,3437,0,23.01,Medio,Mixto,2605135,Zona Costa-Premium
Sara,Suárez,56,Mujer,España,Casado,3,1,Profesor Universitario,Energía,Director,Licenciatura,Permanente,33,176,154643,174787,124035,132921,17513,0,201186,740,4284,0,80.21,Alto,Inversión,2239394,Zona Costa-Premium
Jorge,Fernández,56,Hombre,España,Viudo,1,0,Farmacéutico,Legal,Director,Master,Permanente,35,51,126683,215533,48767,133371,0,897148,1197285,771,3379,0,38.5,Alto,Inversión,5000000,Zona Costa-Premium
Miguel,Díaz,33,Hombre,Colombia,Casado,1,2,Director Comercial,Aeroespacial,Mid-Level,Licenciatura,Permanente,11,142,65637,36422,54400,56411,0,351711,390144,550,2052,0,82.88,Bajo,Residencia,1607747,Zona Costa-Premium
Patricia,Díaz,33,Mujer,España,Casado,3,1,Consultor,Legal,Senior,Master,Temporal,11,177,90002,27074,60115,121205,23972,0,112136,550,2932,0,66.79,Bajo,Vacacional,737462,Zona Tech-Educación
Pedro,Gutiérrez,61,Hombre,España,Soltero,4,0,Product Manager,Aeroespacial,Director,Licenciatura,Temporal,39,146,158569,277829,35088,244794,0,0,487535,707,4576,0,22.13,Medio,Inversión,2145521,Zona Costa-Premium
Pedro,Blanco,33,Hombre,Perú,Soltero,3,0,Product Manager,Turismo,Senior,Master,Temporal,10,142,88083,72571,84730,45452,0,396376,429669,718,2047,15691,96.19,Medio,Inversión,2077679,Zona Sur-Inversión
David,Domínguez,31,Hombre,Chile,Casado,2,0,Empresario,Salud,Senior,Master,Permanente,9,2,83341,62999,25176,19758,8175,0,65756,608,2422,8267,30.21,Medio,Residencia,519888,Zona Centro-Negocios
Laura,Navarro,56,Mujer,España,Casado,1,1,Desarrollador,Construcción,Director,Licenciatura,Permanente,33,2,109533,62087,110798,236193,0,0,187482,578,2881,0,101.15,Bajo,Residencia,1642800,Zona Costa-Premium
Alberto,Molina,33,No-binario,Colombia,Casado,3,1,Gerente de Proyecto,Tecnología,Senior,Master,Permanente,10,63,83928,25352,86673,96064,0,0,34743,710,2717,0,103.27,Medio,Residencia,961167,Zona Sur-Inversión
Ana,Castro,56,Mujer,Chile,Casado,1,1,Desarrollador,Tecnología,Director,Master,Permanente,35,130,119245,69998,69875,106163,0,0,106286,665,3785,0,58.6,Bajo,Residencia,1225585,Zona Sur-Inversión
Daniel,Sánchez,31,Hombre,Perú,Casado,2,0,Farmacéutico,Construcción,Senior,Master,Permanente,8,129,109511,29963,15174,14442,0,0,29231,695,3358,0,13.86,Medio,Inversión,641057,Zona Sur-Inversión
Clara,Hernández,33,Mujer,México,Soltero,3,0,Ingeniero Civil,Legal,Senior,PhD,Freelance,11,92,136966,140388,47872,152060,0,0,244576,662,3767,28404,34.95,Alto,Residencia,1158217,Zona Sur-Inversión
Alberto,Domínguez,31,Hombre,Colombia,Casado,2,2,Ingeniero Software,Alimentación,Mid-Level,Licenciatura,Temporal,10,149,51608,7655,28081,19197,11593,0,10364,550,1007,6169,54.41,Medio,Residencia,353142,Zona Sur-Inversión
Ricardo,Pérez,61,Hombre,Colombia,Casado,2,2,Data Scientist,Automotriz,Director,Licenciatura,Permanente,40,150,116991,140661,41475,151218,0,741500,991904,786,3450,0,35.45,Alto,Inversión,5000000,Zona Costa-Premium
Andrés,Ruiz,31,Hombre,Argentina,Soltero,2,0,Ingeniero Software,Inmobiliario,Mid-Level,Bachillerato,Permanente,8,74,50608,28834,37747,0,0,0,-8913,641,1584,0,74.59,Bajo,Inversión,383399,Zona Tech-Educación
Pedro,Álvarez,56,Hombre,Argentina,Divorciado,2,0,Abogado,Automotriz,Director,Licenciatura,Permanente,33,126,124575,233628,89375,293344,0,465919,903516,711,3635,0,71.74,Alto,Residencia,3667705,Zona Costa-Premium
Andrés,Gil,31,Hombre,México,Casado,3,1,Gerente de Proyecto,Construcción,Senior,PhD,Permanente,8,108,77440,24562,15841,28935,2496,0,40152,684,2046,18692,20.46,Bajo,Residencia,613753,Zona Centro-Negocios
Teresa,Blanco,31,Mujer,México,Soltero,4,0,Diseñador,Construcción,Mid-Level,Licenciatura,Permanente,8,147,49863,16228,23273,32606,3153,0,28714,567,1449,0,46.67,Medio,Residencia,394486,Zona Tech-Educación
Beatriz,Blanco,31,Mujer,Uruguay,Divorciado,3,2,Contador,Energía,Mid-Level,Licenciatura,Permanente,8,22,64905,33457,14418,38712,0,0,57751,634,1477,15071,22.21,Bajo,Residencia,507239,Zona Centro-Negocios
Fernando,Martínez,33,Hombre,España,Divorciado,1,0,Empresario,Construcción,Director,Master,Permanente,12,22,107919,33075,45288,147672,0,0,135459,636,2050,0,41.96,Bajo,Inversión,993371,Zona Centro-Negocios
Francisco,Ortiz,33,Hombre,España,Casado,4,1,Profesor Universitario,Legal,Mid-Level,Bachillerato,Permanente,10,13,39981,31519,14908,16185,0,0,32796,713,891,0,37.29,Bajo,Vacacional,352369,Zona Residencial-Accesible
Daniel,Molina,31,Hombre,Colombia,Casado,3,1,Gerente de Proyecto,Educación,Mid-Level,Licenciatura,Permanente,8,84,70669,27508,10736,38893,16809,0,72474,550,2191,0,15.19,Medio,Inversión,373182,Zona Residencial-Accesible
Alejandro,Romero,33,Hombre,España,Viudo,5,0,Abogado,Inmobiliario,Director,Master,Permanente,12,131,126651,56418,40699,43341,0,0,59060,701,4002,0,32.13,Bajo,Vacacional,1414060,Zona Residencial-Accesible
Cristina,Molina,31,Mujer,México,Soltero,5,0,Arquitecto,Alimentación,Mid-Level,Licenciatura,Permanente,9,15,66600,22677,20300,0,5916,0,8293,685,1332,0,30.48,Bajo,Residencia,480309,Zona Residencial-Accesible
Miguel,Álvarez,56,Hombre,España,Casado,2,2,Arquitecto,Turismo,Director,Master,Permanente,34,21,180468,174980,172099,204486,0,0,207367,621,3271,0,95.36,Alto,Inversión,2301640,Zona Sur-Inversión
Raquel,Díaz,31,Mujer,Argentina,Soltero,5,0,Marketing Manager,Inmobiliario,Mid-Level,Licenciatura,Permanente,9,37,61000,12999,25968,921,8042,0,-4006,676,1116,0,42.57,Bajo,Vacacional,478058,Zona Tech-Educación
Daniel,Fernández,33,Hombre,Venezuela,Casado,2,2,Empresario,Salud,Mid-Level,Licenciatura,Permanente,10,17,54154,13331,17423,45137,19989,0,61034,610,1395,10768,32.17,Bajo,Residencia,532583,Zona Centro-Negocios
Miguel,Suárez,33,Hombre,Colombia,Divorciado,2,0,Piloto,Turismo,Director,Master,Permanente,12,103,185394,142194,38930,246853,0,0,350117,775,3915,31711,21.0,Medio,Inversión,1840930,Zona Centro-Negocios
Daniel,Ortiz,61,Hombre,España,Casado,1,1,Empresario,Inmobiliario,Director,Licenciatura,Permanente,39,25,166153,63999,22951,329059,0,0,370107,699,3953,41177,13.81,Medio,Inversión,2015308,Zona Costa-Premium
Pedro,Suárez,56,Hombre,Ecuador,Casado,2,1,Data Scientist,Turismo,Director,Master,Permanente,34,75,157499,182626,166688,385239,0,0,401177,708,4056,0,105.83,Medio,Inversión,2128334,Zona Costa-Premium
Daniel,Díaz,56,Hombre,España,Casado,3,1,Contador,Telecomunicaciones,Director,PhD,Permanente,34,171,186437,201669,90983,188656,0,0,299342,825,3284,0,48.8,Medio,Inversión,2389889,Zona Centro-Negocios
Sofía,Domínguez,31,Mujer,España,Divorciado,6,1,Chef Ejecutivo,Consultoría,Senior,PhD,Permanente,8,50,130517,68785,42578,0,0,279656,305863,654,3892,7759,32.62,Alto,Residencia,900853,Zona Sur-Inversión
Ricardo,Serrano,56,Hombre,México,Casado,2,1,Chef Ejecutivo,Automotriz,Director,Master,Temporal,34,15,111281,135425,51595,69789,0,633086,786705,611,2187,0,46.36,Alto,Mixto,3989879,Zona Costa-Premium
Ana,Sánchez,56,Mujer,Uruguay,Soltero,3,0,Farmacéutico,Alimentación,Director,Licenciatura,Permanente,34,67,135084,80417,160829,83267,0,1032491,1035346,624,3267,0,119.06,Alto,Vacacional,5000000,Zona Costa-Premium
David,Martín,61,Hombre,España,Casado,4,0,Consultor,Tecnología,C-Level,Master,Permanente,38,30,272862,219091,32797,191491,0,0,377785,775,8510,0,12.02,Alto,Inversión,3852340,Zona Costa-Premium
David,Fernández,33,Hombre,Argentina,Casado,3,0,Marketing Manager,Construcción,Senior,Licenciatura,Permanente,12,7,106070,50965,92079,0,0,0,-41114,684,3221,0,86.81,Bajo,Residencia,951547,Zona Residencial-Accesible
Javier,Hernández,61,Hombre,España,Soltero,1,0,Analista Financiero,Consultoría,Director,PhD,Permanente,38,78,211214,245710,47210,134314,0,0,332814,824,6648,0,22.35,Medio,Inversión,2788011,Zona Costa-Premium
Rosa,Navarro,33,Mujer,España,Divorciado,4,0,Gerente de Proyecto,Alimentación,Senior,Master,Temporal,10,101,108502,85928,44619,152046,0,0,193355,636,3095,0,41.12,Medio,Mixto,1201274,Zona Centro-Negocios
Antonio,Ortiz,33,Hombre,Perú,Casado,3,2,Gerente de Proyecto,Telecomunicaciones,Mid-Level,Licenciatura,Freelance,11,113,45402,22771,28746,39393,14832,0,48250,550,934,0,63.31,Medio,Inversión,483261,Zona Sur-Inversión
Patricia,Serrano,33,Mujer,México,Divorciado,3,0,Gerente de Proyecto,Construcción,Senior,Licenciatura,Permanente,12,51,91850,46328,78425,0,0,448331,416234,550,2138,0,85.38,Medio,Inversión,1715467,Zona Centro-Negocios
Miguel,Domínguez,33,Hombre,Colombia,Casado,3,0,Marketing Manager,Consultoría,Mid-Level,Licenciatura,Temporal,10,18,71154,79947,22023,27499,0,0,85423,571,1305,13204,30.95,Bajo,Mixto,746647,Zona Centro-Negocios
Andrea,Castro,33,Mujer,España,Soltero,1,0,Marketing Manager,Energía,Senior,Licenciatura,Temporal,12,80,89467,29815,76063,47246,0,0,998,586,2046,26568,85.02,Medio,Residencia,902829,Zona Centro-Negocios
Daniel,López,33,Hombre,Colombia,Soltero,1,0,Chef Ejecutivo,Energía,Senior,Master,Temporal,10,54,88668,29008,67621,60308,0,490847,512542,678,1485,0,76.26,Alto,Inversión,2127231,Zona Centro-Negocios
Teresa,Gil,56,Mujer,Chile,Divorciado,2,3,Médico,Finanzas,Director,Licenciatura,Permanente,34,176,112164,128651,87614,124238,0,0,165275,633,2883,0,78.11,Medio,Inversión,1432038,Zona Sur-Inversión
Elena,Gil,33,Mujer,España,Soltero,2,0,Médico,Automotriz,Mid-Level,Licenciatura,Permanente,11,95,50019,27830,41633,0,14408,0,605,658,876,10843,83.23,Bajo,Inversión,598892,Zona Centro-Negocios
Raquel,González,56,Mujer,México,Casado,4,0,Data Scientist,Legal,Director,Master,Permanente,33,153,166219,268533,169860,0,0,0,98673,603,3075,11186,102.19,Medio,Mixto,2479073,Zona Centro-Negocios
Sergio,Vázquez,31,Hombre,Ecuador,Soltero,3,0,Empresario,Legal,Mid-Level,Licenciatura,Freelance,10,77,45443,15653,41516,0,5926,0,-19937,638,1198,0,91.36,Bajo,Vacacional,321760,Zona Tech-Educación
Alejandro,Rubio,61,Hombre,Chile,Casado,1,0,Contador,Legal,Director,Bachillerato,Temporal,38,146,119839,161652,36828,282920,0,0,407744,625,2128,21972,30.73,Alto,Inversión,1935706,Zona Centro-Negocios
Andrés,Rubio,56,Hombre,España,Soltero,2,0,Chef Ejecutivo,Alimentación,Director,Licenciatura,Permanente,35,31,139899,251569,141573,174322,0,1105392,1389710,663,3941,0,101.2,Medio,Residencia,5000000,Zona Costa-Premium
Patricia,Gutiérrez,31,Mujer,Argentina,Soltero,3,0,Ingeniero Civil,Educación,Mid-Level,Bachillerato,Temporal,9,20,40132,10912,22524,23517,0,108523,120428,550,1119,4413,56.12,Alto,Inversión,304089,Zona Sur-Inversión
Sofía,Suárez,56,Mujer,Chile,Casado,2,1,Gerente de Proyecto,Consultoría,Director,Master,Freelance,35,93,145973,161024,72727,140113,0,0,228410,799,4659,0,49.82,Bajo,Inversión,1702667,Zona Centro-Negocios
Raquel,Gutiérrez,31,Mujer,España,Soltero,1,0,Ingeniero Civil,Retail,Senior,PhD,Permanente,9,31,129611,87801,32157,25099,28897,0,109640,629,3172,0,24.81,Medio,Vacacional,738768,Zona Centro-Negocios
Rafael,Romero,31,Hombre,México,Casado,2,0,Marketing Manager,Energía,Senior,Master,Permanente,9,141,112067,87746,18368,27278,13454,437923,548033,606,3722,0,16.39,Medio,Mixto,1125765,Zona Centro-Negocios
Javier,Gutiérrez,33,Hombre,Ecuador,Casado,2,1,Product Manager,Salud,Senior,Master,Freelance,10,74,100120,33061,45873,146764,0,0,133952,789,3206,0,45.82,Bajo,Mixto,1021471,Zona Sur-Inversión
Rafael,Martínez,33,Hombre,Venezuela,Casado,5,1,Profesor Universitario,Energía,Senior,Master,Permanente,11,88,104752,55068,79875,79697,0,359428,414318,550,2499,0,76.25,Alto,Inversión,1518522,Zona Centro-Negocios
Laura,Ramos,31,Mujer,Chile,Soltero,5,0,Diseñador,Alimentación,Mid-Level,Bachillerato,Permanente,10,148,33707,11496,40542,0,3541,0,-25505,563,739,0,120.28,Bajo,Residencia,248048,Zona Residencial-Accesible
Mónica,González,33,Mujer,España,Casado,2,0,Chef Ejecutivo,Turismo,Mid-Level,Licenciatura,Permanente,11,150,41445,28683,34068,15078,0,0,9693,550,1028,0,82.2,Bajo,Residencia,402543,Zona Sur-Inversión
Clara,Alonso,61,Mujer,Uruguay,Divorciado,2,3,Director Comercial,Automotriz,Director,Master,Permanente,38,91,134661,56536,12231,309070,0,0,353375,644,3302,0,9.08,Medio,Inversión,1976970,Zona Centro-Negocios
Alberto,Martín,31,Hombre,Argentina,Casado,3,1,Piloto,Telecomunicaciones,Senior,Master,Permanente,9,119,88555,45313,34402,63695,0,0,74606,774,1712,0,38.85,Medio,Inversión,547124,Zona Sur-Inversión
Ana,López,31,Mujer,España,Casado,2,1,Ingeniero Civil,Automotriz,Senior,Master,Temporal,10,115,83654,20994,35917,39053,0,0,24130,708,2512,0,42.94,Bajo,Inversión,511272,Zona Sur-Inversión
Carmen,Torres,61,Mujer,Argentina,Divorciado,2,2,Consultor,Finanzas,C-Level,PhD,Permanente,40,124,272589,378456,56878,411678,63867,0,797123,822,4981,0,20.87,Alto,Vacacional,3895648,Zona Costa-Premium
Alberto,Gómez,33,Hombre,USA (Miami),Casado,1,3,Gerente de Proyecto,Inmobiliario,Senior,Licenciatura,Permanente,12,105,90456,44094,66225,52307,0,0,30176,619,1682,22677,73.21,Bajo,Vacacional,1024637,Zona Sur-Inversión
Elena,Ortiz,56,Mujer,España,Casado,1,1,Profesor Universitario,Educación,Director,Master,Temporal,35,60,161721,116728,121079,348105,0,846710,1190464,582,4254,0,74.87,Alto,Inversión,5000000,Zona Centro-Negocios
Raquel,Moreno,31,Mujer,Perú,Viudo,1,0,Analista Financiero,Energía,Senior,PhD,Permanente,9,125,89101,42556,34424,6493,0,0,14625,773,1825,0,38.63,Medio,Inversión,687522,Zona Sur-Inversión
Teresa,Vázquez,33,Mujer,Perú,Soltero,3,0,Abogado,Educación,Senior,PhD,Freelance,10,30,74547,31749,62933,51961,0,0,20777,550,2341,11325,84.42,Medio,Residencia,617610,Zona Centro-Negocios
María,Suárez,33,Mujer,España,Viudo,1,0,Piloto,Salud,Senior,Bachillerato,Permanente,12,100,92504,98212,40480,54950,0,494979,607661,675,3080,0,43.76,Alto,Vacacional,2460271,Zona Costa-Premium
Pablo,Martínez,61,Hombre,Perú,Soltero,1,0,Profesor Universitario,Turismo,Director,Licenciatura,Temporal,38,108,151260,258940,50678,230024,0,0,438286,737,2911,0,33.5,Alto,Mixto,2198356,Zona Centro-Negocios
Alberto,Moreno,33,Hombre,Venezuela,Casado,3,3,Diseñador,Construcción,Senior,Master,Permanente,10,3,92743,67582,72581,131769,53967,0,180737,636,2996,0,78.26,Medio,Residencia,875414,Zona Residencial-Accesible
Silvia,Torres,33,Mujer,España,Divorciado,3,2,Analista Financiero,Turismo,Mid-Level,Bachillerato,Permanente,10,88,33952,16002,24158,15296,4348,0,11488,550,1011,0,71.15,Bajo,Mixto,361871,Zona Residencial-Accesible
David,González,61,Hombre,España,Soltero,1,0,Contador,Aeroespacial,Director,Master,Temporal,39,112,119315,123861,58386,269553,0,0,335028,764,2741,0,48.93,Medio,Residencia,1560925,Zona Sur-Inversión
Patricia,Blanco,61,Mujer,España,Soltero,4,0,Desarrollador,Telecomunicaciones,C-Level,Master,Permanente,39,89,163917,317707,51464,257887,63415,0,587545,679,4188,0,31.4,Alto,Inversión,3472378,Zona Costa-Premium
María,Blanco,31,Mujer,España,Casado,3,1,Empresario,Telecomunicaciones,Mid-Level,Licenciatura,Permanente,10,3,54247,19710,20867,0,0,0,-1157,745,1258,0,38.47,Medio,Residencia,407557,Zona Centro-Negocios
Isabel,Molina,56,Mujer,Colombia,Casado,2,2,Empresario,Aeroespacial,Director,Licenciatura,Permanente,35,20,107938,138516,42154,238176,0,0,334538,678,2723,0,39.05,Medio,Inversión,1934794,Zona Sur-Inversión
Luis,Rodríguez,33,No-binario,España,Soltero,6,0,Data Scientist,Turismo,Mid-Level,Licenciatura,Permanente,10,25,56272,30029,53231,42241,0,0,19039,550,1420,0,94.6,Bajo,Inversión,643421,Zona Residencial-Accesible
Sergio,Gómez,33,Hombre,Venezuela,Casado,1,1,Consultor,Energía,Mid-Level,Licenciatura,Permanente,10,37,40546,22425,16528,7732,5697,0,19326,638,1188,0,40.76,Bajo,Residencia,428052,Zona Centro-Negocios
José,Torres,33,Hombre,Uruguay,Casado,3,1,Abogado,Retail,Mid-Level,Licenciatura,Freelance,11,17,61957,39334,26178,86056,17192,0,116404,738,1717,15948,42.25,Bajo,Inversión,706957,Zona Centro-Negocios
Ricardo,Alonso,33,Hombre,España,Soltero,1,0,Arquitecto,Educación,Senior,PhD,Permanente,11,176,80794,31380,38822,49397,30467,384113,456535,727,1451,0,48.05,Alto,Inversión,2058488,Zona Centro-Negocios
Andrés,Martín,31,Hombre,México,Casado,2,1,Piloto,Educación,Mid-Level,Licenciatura,Temporal,10,27,48711,24702,41120,23416,7080,0,14078,646,1053,0,84.42,Medio,Residencia,362412,Zona Tech-Educación
Javier,Navarro,33,Hombre,México,Soltero,1,0,Gerente de Proyecto,Tecnología,Senior,PhD,Permanente,11,153,115506,80565,50109,48076,62103,0,140635,793,2086,9312,43.38,Medio,Residencia,1203297,Zona Residencial-Accesible
Pedro,Muñoz,33,Hombre,México,Soltero,3,0,Ingeniero Software,Consultoría,Senior,Master,Freelance,11,32,72785,74028,45545,67812,0,0,96295,550,1731,0,62.57,Bajo,Vacacional,804870,Zona Sur-Inversión
Patricia,González,31,Mujer,España,Casado,2,1,Médico,Educación,Senior,PhD,Permanente,10,68,136756,64069,24759,48111,0,0,87421,710,3380,0,18.1,Medio,Residencia,1025666,Zona Sur-Inversión
Clara,Sánchez,33,Mujer,España,Divorciado,6,2,Product Manager,Finanzas,Mid-Level,Licenciatura,Permanente,10,65,44810,28645,54775,67014,0,0,40884,550,1012,0,122.24,Bajo,Mixto,468385,Zona Residencial-Accesible
José,González,61,Hombre,España,Casado,3,1,Marketing Manager,Educación,Director,Licenciatura,Permanente,38,25,93816,70257,36081,114858,0,0,149034,607,1843,0,38.46,Medio,Residencia,1388539,Zona Sur-Inversión
Pedro,Hernández,56,Hombre,España,Soltero,5,0,Analista Financiero,Tecnología,Director,Master,Permanente,33,146,160324,215193,44199,372789,58353,0,602136,805,3656,0,27.57,Alto,Inversión,2806787,Zona Costa-Premium
Clara,Suárez,33,Mujer,Perú,Casado,1,2,Diseñador,Construcción,Mid-Level,Licenciatura,Permanente,11,41,51090,36677,39015,49242,0,0,46904,550,1439,5804,76.37,Bajo,Inversión,590459,Zona Tech-Educación
Daniel,Domínguez,61,Hombre,España,Divorciado,2,0,Consultor,Legal,Director,Licenciatura,Temporal,38,169,166453,108844,37423,308710,0,887543,1267674,745,3113,40972,22.48,Alto,Vacacional,5000000,Zona Costa-Premium
